food,class,nutrient,unit,amount,DV,%DV
Gogurt (1/2 Cup),Proximate,Energy,kcal,106.5,2000,0.05325
Gogurt (1/2 Cup),Proximate,Protein,g,3.54,50,0.0708
Gogurt (1/2 Cup),Proximate,Fat,g,0.885,65,0.0136153846153846
Gogurt (1/2 Cup),Proximate,Carbs,g,21.28,300,0.0709333333333333
Gogurt (1/2 Cup),Proximate,Sugars,g,15.96,100,0.1596
Gogurt (1/2 Cup),Mineral,Calcium,mg,177,1000,0.177
Gogurt (1/2 Cup),Mineral,Phosphorus,mg,106.5,1000,0.1065
Gogurt (1/2 Cup),Mineral,Potassium,mg,160,3500,0.0457142857142857
Gogurt (1/2 Cup),Mineral,Sodium,mg,53.5,2400,0.0222916666666667
Gogurt (1/2 Cup),Vitamin,Riboflavin,mg,0.12055,1.7,0.0709117647058824
Gogurt (1/2 Cup),Vitamin,Vitamin A,IU,709.5,5000,0.1419
Gogurt (1/2 Cup),Vitamin,Vitamin D,IU,70.5,400,0.17625
Gogurt (1/2 Cup),Lipid,Cholesterol,mg,9,300,0.03
